Taxonomy,A3,A5,A6,A9,A31,A51,A52,A53,A54,A59,A67,A68,A69,A71,A73,A76,A78,A87,A89,A93,A101,A109,A113,A114,A115,A142,A144,A149,A164,A165,B1,B2,B3,B5,B6,B7,B8,B13,B14,B28,B29,B36,B37,B94,B99,B103,B106,B111,B114,B115,B120,B127,B132,B141,B142,B143,B152,B156,B158,B164
g__Faecalibacterium;s__Faecalibacterium prausnitzii,4988,5060,2905,5745,4822,3889,4646,6337,5064,6359,3194,4486,3807,6208,3008,5628,5732,5240,3616,3355,3833,3771,5489,6762,3045,6205,6048,5418,5120,8504,4269,4397,4499,6126,7020,5404,4404,5811,3360,4141,2880,3805,4168,4543,2804,5728,3827,6030,4950,4749,4471,5868,6561,4910,4492,2812,5303,4205,3430,4563
g__Hungatella;s__Hungatella hathewayi,5803,5612,4109,1432,2652,4175,3891,894,4903,2970,4029,1266,4822,1635,4761,1366,1867,2065,4777,5954,6849,4390,2091,1638,4613,2601,1892,3267,2294,2978,1217,6238,2325,5004,2829,2192,2921,4303,2793,3671,5350,4566,3984,5597,5191,2204,5523,1556,4983,5993,2126,4429,2598,4222,4925,5753,1261,1822,2478,4868
g__Clostridium;s__uncultured Clostridium sp.,3793,2795,1355,5558,5383,3505,5541,4429,4121,3258,1901,2940,3820,5118,1582,4168,3831,3464,2942,3291,4586,1014,4100,4336,2301,6372,4020,3511,4328,3906,3853,4624,3842,4399,3916,3355,5165,4453,1999,3974,1185,3895,2710,3425,1559,4902,3016,6066,5082,3764,4085,6041,6188,3960,4403,2841,2746,3808,3856,3211
g__Butyricimonas;s__Butyricimonas virosa,64,1385,725,1553,40,53,33,175,58,1636,1170,80,59,77,1364,67,63,7,999,39,3285,30,54,1168,50,38,49,27,1685,838,1624,1,703,43,46,1505,32,1474,2,52,4,5,43,1449,5,36,34,37,113,46,2065,21,27,55,35,8,884,13,3,218
g__Alistipes;s__Alistipes indistinctus,15,20,723,620,3261,43,83,37,43,1114,2531,207,59,50,55,1194,68,49,979,10,3159,61,2606,2821,21,2276,3,34,2681,2103,2452,3,819,2761,691,2768,25,1095,13,4,4,6,356,2380,23,3089,33,2052,2801,2,90,22,30,1027,2641,4,1587,2223,6,1473
g__Unclassified;s__Firmicutes bacterium CAG:176,100,29,11,1320,51,45,52,64,60,896,26,54,35,1953,23,54,50,70,55,36,1109,25,48,3034,67,1196,123,160,49,1158,185,41,24,1418,119,23,757,629,12,37,7,8,19,65,13,851,34,208,803,30,829,136,159,22,41,10,28,38,15,64
g__Clostridium;s__Clostridium sp. CAG:7,2119,1230,1322,2675,1470,2262,2984,2004,1904,1227,821,1420,167,1696,1389,1192,1772,1807,144,1291,1876,245,1945,2036,1489,1754,1556,2035,2370,2136,1358,1850,1504,1566,1831,643,2117,1581,1229,2649,1284,818,1451,1999,108,2361,2246,1839,1769,2045,2475,1649,2018,1999,2027,180,2134,1134,1487,1797
g__Unclassified;s__Firmicutes bacterium CAG:882,12,24,1,44,26,9,25,19,17,17,15,7,9,127,24,17,15,15,21,18,31,17,17,74,11,42,2940,20,35,82,30,13,381,1569,15,4,22,16,2,53,16,40,61,57,888,20,9,1718,1473,33,15,1711,1456,11,9,46,19,25,47,8
g__Lachnoclostridium;s__[Clostridium] asparagiforme,453,691,2278,107,342,1304,1400,1207,2034,2051,20,105,752,527,478,423,260,2534,1611,2758,438,1595,2038,747,1336,646,909,227,402,539,145,2524,2208,453,236,2670,1656,2566,128,46,2564,1438,2142,323,563,776,437,475,1537,580,1555,554,389,548,1815,1508,1169,321,2169,159
g__Butyricicoccus;s__uncultured Butyricicoccus sp.,1266,1682,43,1726,1804,1441,2691,1886,919,2215,1063,1765,146,2171,1679,948,632,1231,1110,1317,2153,82,1116,2065,1033,1169,1583,1016,1592,1051,1949,1858,2209,1979,2451,750,1563,2502,1262,1989,1146,2241,1341,1038,572,1756,727,653,2117,1132,1099,2072,1868,1853,2277,1069,1226,1601,839,1278
g__Unclassified;s__Firmicutes bacterium CAG:95,17,119,9,1938,49,46,44,42,48,27,2305,37,28,1768,35,2002,33,101,46,24,31,24,60,154,15,2649,1863,35,52,1233,28,21,48,338,383,14,974,30,9,41,8,38,25,29,16,1448,18,55,113,17,411,500,1383,28,77,18,18,19,35,12
g__Oscillibacter;s__Oscillibacter sp. ER4,524,2018,101,2023,415,292,200,1226,394,1566,66,124,157,1610,113,1164,1114,116,152,237,1321,165,1032,2498,79,1569,1230,1202,1396,1491,1109,284,193,1515,260,1052,1356,777,67,123,97,86,92,140,108,1457,313,1378,1364,1274,1949,1420,1444,265,179,52,539,1257,94,732
g__Desulfovibrio;s__Desulfovibrio piger,7,714,19,150,17,11,8,10,3,1,11,14,7,2114,3,8,6,52,5,0,17,1,20,157,2105,2434,154,12,6,2059,3,1,3,2,0,8,0,0,1,154,2,143,4,2,3,144,1,5,3,5,1,2,2,3,29,3,0,2,1,9
g__Fusobacterium;s__Fusobacterium mortiferum,1,0,0,1,9,12,6,597,2,9,2,2,5,10,6,2017,3,6,4,4,7,8,7,290,5,1,21,4,83,2388,3,0,0,0,1,0,1,1,2091,12,0,0,0,4,1,1,0,2,2,1,1,2,0,1,0,0,0,1,1,2
g__Clostridium;s__Clostridium sp. GD3,1466,1412,937,2138,1256,84,74,1084,1449,1850,1482,148,2354,148,79,353,2057,85,1984,2238,109,46,1007,392,1437,554,662,1820,2302,957,523,124,2176,1911,1513,1215,1547,1249,1449,1930,1773,25,111,1828,47,1755,1286,302,1307,1938,1140,1518,583,1532,1467,1013,321,394,71,685
