"genus","sample_id","abundance"
"Faecalibacterium","A3",4988
"Faecalibacterium","A5",5060
"Faecalibacterium","A6",2905
"Faecalibacterium","A9",5745
"Faecalibacterium","A31",4822
"Faecalibacterium","A51",3889
"Faecalibacterium","A52",4646
"Faecalibacterium","A53",6337
"Faecalibacterium","A54",5064
"Faecalibacterium","A59",6359
"Faecalibacterium","A67",3194
"Faecalibacterium","A68",4486
"Faecalibacterium","A69",3807
"Faecalibacterium","A71",6208
"Faecalibacterium","A73",3008
"Faecalibacterium","A76",5628
"Faecalibacterium","A78",5732
"Faecalibacterium","A87",5240
"Faecalibacterium","A89",3616
"Faecalibacterium","A93",3355
"Faecalibacterium","A101",3833
"Faecalibacterium","A109",3771
"Faecalibacterium","A113",5489
"Faecalibacterium","A114",6762
"Faecalibacterium","A115",3045
"Faecalibacterium","A142",6205
"Faecalibacterium","A144",6048
"Faecalibacterium","A149",5418
"Faecalibacterium","A164",5120
"Faecalibacterium","A165",8504
"Faecalibacterium","B1",4269
"Faecalibacterium","B2",4397
"Faecalibacterium","B3",4499
"Faecalibacterium","B5",6126
"Faecalibacterium","B6",7020
"Faecalibacterium","B7",5404
"Faecalibacterium","B8",4404
"Faecalibacterium","B13",5811
"Faecalibacterium","B14",3360
"Faecalibacterium","B28",4141
"Faecalibacterium","B29",2880
"Faecalibacterium","B36",3805
"Faecalibacterium","B37",4168
"Faecalibacterium","B94",4543
"Faecalibacterium","B99",2804
"Faecalibacterium","B103",5728
"Faecalibacterium","B106",3827
"Faecalibacterium","B111",6030
"Faecalibacterium","B114",4950
"Faecalibacterium","B115",4749
"Faecalibacterium","B120",4471
"Faecalibacterium","B127",5868
"Faecalibacterium","B132",6561
"Faecalibacterium","B141",4910
"Faecalibacterium","B142",4492
"Faecalibacterium","B143",2812
"Faecalibacterium","B152",5303
"Faecalibacterium","B156",4205
"Faecalibacterium","B158",3430
"Faecalibacterium","B164",4563
"Hungatella","A3",5803
"Hungatella","A5",5612
"Hungatella","A6",4109
"Hungatella","A9",1432
"Hungatella","A31",2652
"Hungatella","A51",4175
"Hungatella","A52",3891
