"tax_asd","condition","patient_id","abundance"
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","1",4269
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","2",4397
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","3",4499
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","5",6126
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","6",7020
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","7",5404
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","8",4404
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","13",5811
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","14",3360
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","28",4141
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","29",2880
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","36",3805
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","37",4168
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","94",4543
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","99",2804
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","103",5728
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","106",3827
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","111",6030
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","114",4950
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","115",4749
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","120",4471
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","127",5868
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","132",6561
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","141",4910
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","142",4492
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","143",2812
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","152",5303
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","156",4205
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","158",3430
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","b","164",4563
"g__Hungatella;s__Hungatella hathewayi","b","1",1217
"g__Hungatella;s__Hungatella hathewayi","b","2",6238
"g__Hungatella;s__Hungatella hathewayi","b","3",2325
"g__Hungatella;s__Hungatella hathewayi","b","5",5004
"g__Hungatella;s__Hungatella hathewayi","b","6",2829
"g__Hungatella;s__Hungatella hathewayi","b","7",2192
"g__Hungatella;s__Hungatella hathewayi","b","8",2921
"g__Hungatella;s__Hungatella hathewayi","b","13",4303
"g__Hungatella;s__Hungatella hathewayi","b","14",2793
"g__Hungatella;s__Hungatella hathewayi","b","28",3671
"g__Hungatella;s__Hungatella hathewayi","b","29",5350
"g__Hungatella;s__Hungatella hathewayi","b","36",4566
"g__Hungatella;s__Hungatella hathewayi","b","37",3984
"g__Hungatella;s__Hungatella hathewayi","b","94",5597
"g__Hungatella;s__Hungatella hathewayi","b","99",5191
"g__Hungatella;s__Hungatella hathewayi","b","103",2204
"g__Hungatella;s__Hungatella hathewayi","b","106",5523
"g__Hungatella;s__Hungatella hathewayi","b","111",1556
"g__Hungatella;s__Hungatella hathewayi","b","114",4983
"g__Hungatella;s__Hungatella hathewayi","b","115",5993
"g__Hungatella;s__Hungatella hathewayi","b","120",2126
"g__Hungatella;s__Hungatella hathewayi","b","127",4429
"g__Hungatella;s__Hungatella hathewayi","b","132",2598
"g__Hungatella;s__Hungatella hathewayi","b","141",4222
"g__Hungatella;s__Hungatella hathewayi","b","142",4925
"g__Hungatella;s__Hungatella hathewayi","b","143",5753
"g__Hungatella;s__Hungatella hathewayi","b","152",1261
"g__Hungatella;s__Hungatella hathewayi","b","156",1822
"g__Hungatella;s__Hungatella hathewayi","b","158",2478
"g__Hungatella;s__Hungatella hathewayi","b","164",4868
"g__Clostridium;s__uncultured Clostridium sp.","b","1",3853
"g__Clostridium;s__uncultured Clostridium sp.","b","2",4624
"g__Clostridium;s__uncultured Clostridium sp.","b","3",3842
"g__Clostridium;s__uncultured Clostridium sp.","b","5",4399
"g__Clostridium;s__uncultured Clostridium sp.","b","6",3916
"g__Clostridium;s__uncultured Clostridium sp.","b","7",3355
"g__Clostridium;s__uncultured Clostridium sp.","b","8",5165
"g__Clostridium;s__uncultured Clostridium sp.","b","13",4453
"g__Clostridium;s__uncultured Clostridium sp.","b","14",1999
"g__Clostridium;s__uncultured Clostridium sp.","b","28",3974
"g__Clostridium;s__uncultured Clostridium sp.","b","29",1185
