"tax_td","condition","patient_id","abundance"
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","3",4988
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","5",5060
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","6",2905
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","9",5745
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","31",4822
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","51",3889
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","52",4646
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","53",6337
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","54",5064
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","59",6359
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","67",3194
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","68",4486
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","69",3807
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","71",6208
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","73",3008
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","76",5628
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","78",5732
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","87",5240
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","89",3616
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","93",3355
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","101",3833
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","109",3771
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","113",5489
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","114",6762
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","115",3045
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","142",6205
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","144",6048
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","149",5418
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","164",5120
"g__Faecalibacterium;s__Faecalibacterium prausnitzii","a","165",8504
"g__Hungatella;s__Hungatella hathewayi","a","3",5803
"g__Hungatella;s__Hungatella hathewayi","a","5",5612
"g__Hungatella;s__Hungatella hathewayi","a","6",4109
"g__Hungatella;s__Hungatella hathewayi","a","9",1432
"g__Hungatella;s__Hungatella hathewayi","a","31",2652
"g__Hungatella;s__Hungatella hathewayi","a","51",4175
"g__Hungatella;s__Hungatella hathewayi","a","52",3891
"g__Hungatella;s__Hungatella hathewayi","a","53",894
"g__Hungatella;s__Hungatella hathewayi","a","54",4903
"g__Hungatella;s__Hungatella hathewayi","a","59",2970
"g__Hungatella;s__Hungatella hathewayi","a","67",4029
"g__Hungatella;s__Hungatella hathewayi","a","68",1266
"g__Hungatella;s__Hungatella hathewayi","a","69",4822
"g__Hungatella;s__Hungatella hathewayi","a","71",1635
"g__Hungatella;s__Hungatella hathewayi","a","73",4761
"g__Hungatella;s__Hungatella hathewayi","a","76",1366
"g__Hungatella;s__Hungatella hathewayi","a","78",1867
"g__Hungatella;s__Hungatella hathewayi","a","87",2065
"g__Hungatella;s__Hungatella hathewayi","a","89",4777
"g__Hungatella;s__Hungatella hathewayi","a","93",5954
"g__Hungatella;s__Hungatella hathewayi","a","101",6849
"g__Hungatella;s__Hungatella hathewayi","a","109",4390
"g__Hungatella;s__Hungatella hathewayi","a","113",2091
