"genus","age","avg_abundance"
"Hungatella",6,4552.33333333333
"Hungatella",3,3714.57142857143
"Hungatella",5,3699.33333333333
"Hungatella",4,3171.55555555556
"Hungatella",7,2789.5
"Hungatella",8,2294
"Faecalibacterium",7,1977.2
"Hungatella",9,1892
"Faecalibacterium",11,1704.8
"Faecalibacterium",9,1563.4
"Hungatella",11,1432
"Faecalibacterium",6,1297.53846153846
"Faecalibacterium",4,1277.11627906977
"Faecalibacterium",3,1241.375
"Faecalibacterium",5,1218.26923076923
"Faecalibacterium",8,1196.6
"Phascolarctobacterium",7,1083
"Flavonifractor",3,1016.5
"Butyricicoccus",11,903.5
"Flavonifractor",5,896.333333333333
"Flavonifractor",6,874.333333333333
"Flavonifractor",4,842.388888888889
"Butyricicoccus",8,827.5
"Butyricicoccus",5,826.25
"Butyricicoccus",9,820
"Butyricicoccus",6,710
"Subdoligranulum",7,691.333333333333
"Subdoligranulum",9,674.666666666667
"Subdoligranulum",11,670
"Butyricicoccus",4,660.222222222222
"Phascolarctobacterium",8,659
"Bilophila",11,649.5
"Flavonifractor",11,641
"Phascolarctobacterium",6,638.222222222222
"Butyricimonas",8,634
"Bilophila",9,628.5
"Butyricicoccus",3,625.642857142857
"Phascolarctobacterium",5,624.333333333333
"Bilophila",3,616.071428571429
"Butyricicoccus",7,595
"Bilophila",6,594.333333333333
"Phascolarctobacterium",3,590.666666666667
"Flavonifractor",8,577
"Butyricimonas",11,574.666666666667
"Flavonifractor",7,554
"Phascolarctobacterium",4,552.111111111111
"Bilophila",4,538.944444444444
"Flavonifractor",9,537
"Bilophila",7,493.75
"Holdemanella",6,463
"Bilophila",5,455.454545454545
"Subdoligranulum",8,444.333333333333
"Oscillibacter",11,441.444444444444
"Subdoligranulum",4,434.666666666667
"Subdoligranulum",6,398.777777777778
"Oscillibacter",7,379.166666666667
"Phascolarctobacterium",11,366.666666666667
"Escherichia",8,345
"Subdoligranulum",3,344.95
"Fusicatenibacter",8,328
"Intestinimonas",9,304
"Escherichia",6,302.25
"Escherichia",11,301
"Ruthenibacterium",7,289.5
"Oscillibacter",9,282.777777777778
"Paraprevotella",11,279.666666666667
"Oscillibacter",8,278.333333333333
"Fusicatenibacter",11,273
"Fusicatenibacter",7,263.5
"Butyricimonas",3,262.952380952381
"Fusicatenibacter",6,261.666666666667
"Escherichia",4,261.541666666667
"Fusicatenibacter",3,260.285714285714
"Ruthenibacterium",8,259
"Escherichia",9,255
"Roseburia",9,254.941176470588
"Intestinimonas",11,248
"Eisenbergiella",11,247
"Alistipes",7,246.645833333333
"Eubacterium",11,246.261904761905
"Ruthenibacterium",9,243
"Roseburia",11,237.764705882353
"Subdoligranulum",5,236.111111111111
"Ruthenibacterium",6,236
"Paraprevotella",7,234.5
"Alistipes",8,231.913043478261
"Oscillibacter",6,231.407407407407
"Eisenbergiella",7,229.5
"Roseburia",7,226.147058823529
"Odoribacter",7,225.454545454545
"Odoribacter",8,218.666666666667
"Eisenbergiella",6,216.666666666667
"Sutterella",7,216.615384615385
"Eubacterium",9,215.093023255814
"Odoribacter",9,209.5
"Roseburia",8,208.470588235294
"Ruthenibacterium",4,208.222222222222
"Ruthenibacterium",11,207
"Eubacterium",8,202.023255813953
"Parasutterella",11,200
"Holdemanella",4,198.333333333333
"Intestinimonas",3,195.214285714286
"Oscillibacter",4,195.15
"Odoribacter",11,194.166666666667
"Fusicatenibacter",4,193.333333333333
"Barnesiella",8,193
"Intestinimonas",7,193
"Lachnoclostridium",6,191.575757575758
"Odoribacter",4,190.296296296296
"Fusicatenibacter",5,190
"Odoribacter",6,184.055555555556
"Parasutterella",9,183.5
"Butyricimonas",6,178.333333333333
"Oscillibacter",3,177.428571428571
"Intestinimonas",8,174
"Azospirillum",7,173.5
"Butyricimonas",5,169.166666666667
"Roseburia",5,169.102040816327
"Sutterella",8,167.857142857143
"Butyricimonas",4,167.111111111111
"Azospirillum",11,167
"Azospirillum",9,166
"Barnesiella",11,164.5
"Ruthenibacterium",3,164.142857142857
"Eisenbergiella",8,163
"Ruthenibacterium",5,163
"Eubacterium",5,161.891129032258
"Allisonella",11,161
"Butyricimonas",7,155.5
"Escherichia",5,155.142857142857
"Fusicatenibacter",9,154.5
"Eubacterium",3,154.496575342466
"Lachnospira",11,154.333333333333
"Ruminococcus",8,151.609756097561
"Eisenbergiella",3,150.571428571429
"Roseburia",3,150.546218487395
"Oscillibacter",5,149.685185185185
"Eubacterium",7,148.917647058824
"Blautia",9,146.894736842105
"Eubacterium",6,144.9765625
"Intestinibacter",9,144
"Alistipes",6,143.583333333333
"Alistipes",4,142.574879227053
"Roseburia",6,141.104166666667
"Alistipes",11,141.045454545455
"Alistipes",3,137.138364779874
"Lachnoclostridium",4,136.177664974619
"Lachnoclostridium",3,135.753246753247
"Roseburia",4,134.630136986301
"Clostridium",11,132.765363128492
"Parasutterella",7,132.5
"Eisenbergiella",9,130
"Eisenbergiella",4,129.444444444444
"Lachnospira",7,129.166666666667
"Odoribacter",5,129.114285714286
"Escherichia",3,128.692307692308
"Odoribacter",3,127.714285714286
"Megamonas",11,127.2
"Clostridium",7,126.948228882834
"Pseudoflavonifractor",7,126.5
"Blautia",7,123.162162162162
"Blautia",6,122.438596491228
"Intestinimonas",6,121.5
"Barnesiella",6,121.166666666667
"Ruminococcus",9,121.06976744186
"Lachnoclostridium",8,120.863636363636
"Clostridium",8,115.672514619883
"Chlamydia",8,115
"Coprococcus",7,114.909090909091
"Pseudoflavonifractor",8,114
"Mycoplasma",7,113.923076923077
"Paraprevotella",3,113.428571428571
"Intestinimonas",4,111.777777777778
"Eubacterium",4,111.719676549865
"Blautia",8,110.894736842105
"Lachnoclostridium",5,109.770992366412
"Bacteroides",11,108.971698113208
"Escherichia",7,108
"Bacteroides",8,107.158878504673
"Clostridium",9,106.656804733728
"Allisonella",8,103
"Bacteroides",3,102.207723035952
"Bacteroides",9,101.77358490566
"Bacteroides",5,101.746500777605
"Parabacteroides",7,101.028571428571
"Eisenbergiella",5,101
"Alistipes",5,100.123188405797
"Dialister",11,100
"Parasutterella",8,99
"Lachnoclostridium",9,98.7272727272727
"Marvinbryantia",7,98.5
"Coprococcus",8,98.4545454545455
"Sutterella",4,97.4339622641509
"Ruminococcus",6,96.4251968503937
"Parasutterella",3,95.7857142857143
"Blautia",3,95.7727272727273
"Chlamydia",7,95
"Fusobacterium",7,94.962962962963
"Akkermansia",4,94.8974358974359
"Blautia",4,94.7529411764706
"Blautia",5,94.1327433628319
"Parabacteroides",11,93.9411764705882
"Intestinimonas",5,93.8333333333333
"Parasutterella",4,93.2941176470588
"Ruminococcus",11,92.6
"Bacteroides",4,91.3637305699482
"Bacteroides",7,90.5622119815668
"Ruminiclostridium",11,90
"Bacteroides",6,89.0783699059561
"Parasutterella",5,87.6666666666667
"Tyzzerella",6,87.1666666666667
"Desulfovibrio",7,86.8727272727273
"Bilophila",8,86.5
"Pseudoflavonifractor",11,86
"Clostridium",3,85.5318777292576
"Dorea",9,84.7
"Tyzzerella",5,84.5
"Marvinbryantia",9,84
"Parabacteroides",4,83.974025974026
"Lachnospira",6,82
"Anaerotruncus",7,81.1666666666667
"Ruminiclostridium",7,80.96875
"Azospirillum",3,80
"Anaerostipes",8,79.75
"Clostridium",4,79.4568421052632
"Alistipes",9,79.3913043478261
"Clostridium",5,79.1145945945946
"Parasutterella",6,78.8333333333333
"Barnesiella",7,78.5
