"genus","age","avg_abundance"
"Hungatella",4,4407.5
"Hungatella",7,4303
"Hungatella",3,4029.5
"Hungatella",6,3704.66666666667
"Hungatella",5,3680.33333333333
"Hungatella",13,2829
"Hungatella",10,2325
"Faecalibacterium",13,2146.5
"Faecalibacterium",8,1724.2
"Hungatella",8,1556
"Flavonifractor",7,1498
"Faecalibacterium",9,1491
"Faecalibacterium",5,1467.58620689655
"Faecalibacterium",7,1442.8
"Flavonifractor",10,1428.5
"Faecalibacterium",6,1303.93333333333
"Butyricicoccus",7,1284
"Butyricicoccus",13,1251
"Hungatella",9,1217
"Butyricicoccus",10,1133.5
"Faecalibacterium",4,1128.63157894737
"Faecalibacterium",3,1110.43243243243
"Flavonifractor",13,1080.5
"Faecalibacterium",10,1033.6
"Butyricicoccus",9,998.5
"Flavonifractor",3,942.6875
"Flavonifractor",5,840
"Flavonifractor",8,829
"Flavonifractor",4,820.125
"Butyricicoccus",5,817.666666666667
"Butyricicoccus",4,796.5
"Butyricicoccus",6,766.666666666667
"Bilophila",9,750
"Flavonifractor",6,726.666666666667
"Bilophila",13,719.5
"Bilophila",7,693.5
"Subdoligranulum",7,689.333333333333
"Phascolarctobacterium",7,675.666666666667
"Butyricicoccus",3,663.3125
"Phascolarctobacterium",9,655.333333333333
"Phascolarctobacterium",8,637
"Subdoligranulum",8,628.666666666667
"Bilophila",10,616
"Subdoligranulum",10,610
"Subdoligranulum",6,591.875
"Phascolarctobacterium",10,584.666666666667
"Butyricimonas",9,573.666666666667
"Bilophila",5,561.916666666667
"Bilophila",8,525.5
"Subdoligranulum",5,524.888888888889
"Bilophila",6,523.5
"Butyricimonas",7,507.333333333333
"Phascolarctobacterium",6,454.444444444444
"Bilophila",3,447.0625
"Phascolarctobacterium",4,445.958333333333
"Subdoligranulum",3,397.347826086957
"Flavonifractor",9,395.5
"Subdoligranulum",13,384.666666666667
"Fusicatenibacter",8,380
"Intestinimonas",10,363.5
"Phascolarctobacterium",5,356.888888888889
"Butyricicoccus",8,353.5
"Escherichia",8,350.333333333333
"Oscillibacter",8,347.777777777778
"Escherichia",10,346.333333333333
"Subdoligranulum",4,331.130434782609
"Fusicatenibacter",7,322.5
"Oscillibacter",6,315.592592592593
"Azospirillum",9,305
"Ruthenibacterium",7,305
"Ruthenibacterium",6,297
"Fusicatenibacter",10,293
"Eisenbergiella",6,289.666666666667
"Oscillibacter",9,285.888888888889
"Bilophila",4,285.25
"Fusicatenibacter",5,283.833333333333
"Escherichia",5,275
"Subdoligranulum",9,270.333333333333
"Roseburia",8,268
"Ruthenibacterium",10,268
"Eisenbergiella",8,265
"Escherichia",9,264.333333333333
"Fusicatenibacter",3,264.0625
"Holdemanella",9,264
"Butyricimonas",6,262.777777777778
"Fusicatenibacter",6,260
"Butyricimonas",10,254.666666666667
"Fusicatenibacter",13,254.5
"Ruthenibacterium",5,251.5
"Fusicatenibacter",9,251
"Escherichia",4,247.304347826087
"Escherichia",13,242.666666666667
"Fusicatenibacter",4,237.25
"Akkermansia",7,231.333333333333
"Escherichia",3,228.363636363636
"Oscillibacter",5,226.851851851852
"Escherichia",6,225.142857142857
"Oscillibacter",7,224.111111111111
"Odoribacter",6,222
"Eubacterium",8,219.738095238095
"Alistipes",9,214.739130434783
"Alistipes",8,212.333333333333
"Odoribacter",10,210.333333333333
"Odoribacter",8,210
"Ruthenibacterium",4,207.75
"Lachnoclostridium",7,207.590909090909
"Ruthenibacterium",3,203.125
"Eisenbergiella",9,194
"Roseburia",10,192.588235294118
"Alistipes",6,188.115942028986
"Eisenbergiella",10,188
"Intestinimonas",8,187
"Parasutterella",10,186.5
"Odoribacter",13,185.666666666667
"Roseburia",7,185.529411764706
"Ruminococcus",8,185.209302325581
"Intestinimonas",5,185.083333333333
"Intestinimonas",7,184.5
"Roseburia",13,183.941176470588
"Escherichia",7,181.666666666667
"Alistipes",10,180.958333333333
"Eubacterium",10,180.53488372093
"Lachnoclostridium",10,179
"Odoribacter",9,176.166666666667
"Alistipes",5,174.791044776119
"Parasutterella",7,170.5
"Intestinimonas",6,166.5
"Ruthenibacterium",9,164
"Lachnospira",8,162
"Eubacterium",3,161.236760124611
"Ruthenibacterium",13,161
"Odoribacter",4,160.558139534884
"Megasphaera",7,159.888888888889
"Eubacterium",6,159.095238095238
"Oscillibacter",3,158.430555555556
"Eisenbergiella",5,158.333333333333
"Barnesiella",8,157
"Lachnospira",10,157
"Ruthenibacterium",8,157
"Paraprevotella",6,156.666666666667
"Roseburia",9,156
"Sutterella",8,155.571428571429
"Eubacterium",7,153.47619047619
"Roseburia",5,153.470588235294
"Oscillibacter",4,152.069444444444
"Lachnoclostridium",6,151.681818181818
"Blautia",8,148.894736842105
"Eubacterium",5,148.649402390438
"Roseburia",6,148.32
"Lachnoclostridium",3,148.164772727273
"Eisenbergiella",13,147
"Odoribacter",5,146.714285714286
"Eisenbergiella",7,145
"Megamonas",8,143.4
"Barnesiella",10,140.5
"Eubacterium",13,139.95
"Intestinimonas",3,139.3125
"Parasutterella",5,138.916666666667
"Dialister",7,137.285714285714
"Parasutterella",6,136.4
"Clostridium",8,135.677777777778
"Oscillibacter",13,135.666666666667
"Roseburia",3,134.356060606061
"Lachnoclostridium",4,131.171428571429
"Lachnoclostridium",5,127.431818181818
"Alistipes",7,127.2
"Barnesiella",9,126.5
"Butyricimonas",3,126.409090909091
"Allisonella",9,125
"Oscillibacter",10,123.555555555556
"Butyricimonas",5,121.647058823529
"Eisenbergiella",4,121.375
"Akkermansia",6,120.285714285714
"Roseburia",4,119.840909090909
"Blautia",7,118.210526315789
"Blautia",6,118.017543859649
"Blautia",9,116.631578947368
"Eisenbergiella",3,116.5
"Dialister",5,114.219512195122
"Intestinimonas",9,113
"Phascolarctobacterium",3,112.541666666667
"Lachnospira",9,112
"Ruminococcus",10,111.975609756098
"Alistipes",3,111.711656441718
"Clostridium",7,111.672955974843
"Barnesiella",6,111.666666666667
"Blautia",5,110.394736842105
"Alistipes",4,106.744186046512
"Intestinimonas",13,104.5
"Clostridium",5,102.605550049554
