"genus","condition","avg_abundance"
"Absidia","a",0.4
"Absidia","b",0.5
"Acaryochloris","a",0.0333333333333333
"Acaryochloris","b",0.0666666666666667
"Acetanaerobacterium","a",15.2
"Acetanaerobacterium","b",14.8333333333333
"Acetivibrio","a",22.65
"Acetivibrio","b",19.1833333333333
"Acetoanaerobium","a",0.8
"Acetoanaerobium","b",0.366666666666667
"Acetobacter","a",2.05555555555556
"Acetobacter","b",0.777777777777778
"Acetobacterium","a",2.14166666666667
"Acetobacterium","b",2.03333333333333
"Acetohalobium","a",0.1
"Acetohalobium","b",0
"Acetomicrobium","a",0.2
"Acetomicrobium","b",0.216666666666667
"Acetonema","a",2.7
"Acetonema","b",2.46666666666667
"Acholeplasma","a",0.696666666666667
"Acholeplasma","b",0.603333333333333
"Achromatium","a",0
"Achromatium","b",0.0333333333333333
"Achromobacter","a",0.253333333333333
"Achromobacter","b",0.173333333333333
"Acidaminobacter","a",2.8
"Acidaminobacter","b",2.53333333333333
"Acidaminococcus","a",2.96666666666667
"Acidaminococcus","b",2.61851851851852
"Acidibacillus","a",0.2
"Acidibacillus","b",0.0666666666666667
"Acidiferrobacter","a",0.0333333333333333
"Acidiferrobacter","b",0.0666666666666667
"Acidihalobacter","a",0.0333333333333333
"Acidihalobacter","b",0
"Acidiphilium","a",6.63333333333333
"Acidiphilium","b",11.3166666666667
"Acidiplasma","a",0.5
"Acidiplasma","b",0.666666666666667
"Acidipropionibacterium","a",0.166666666666667
"Acidipropionibacterium","b",0
"Acidithiobacillus","a",0.133333333333333
"Acidithiobacillus","b",0.0333333333333333
"Acidithrix","a",0.0333333333333333
"Acidithrix","b",0
"Acidobacterium","a",0.0833333333333333
"Acidobacterium","b",0.0166666666666667
"Acidocella","a",0.0333333333333333
"Acidocella","b",0
"Acidovorax","a",0.0791666666666667
"Acidovorax","b",0.0625
"Aciduliprofundum","a",0.0666666666666667
"Aciduliprofundum","b",0.0333333333333333
"Acinetobacter","a",0.134444444444444
"Acinetobacter","b",0.102222222222222
"Actinobacillus","a",0.22
"Actinobacillus","b",0.206666666666667
"Actinomadura","a",0.0833333333333333
"Actinomadura","b",0.0666666666666667
"Actinomyces","a",0.151851851851852
"Actinomyces","b",0.166666666666667
"Actinomycetospora","a",0.333333333333333
"Actinomycetospora","b",0.1
"Actinoplanes","a",0.133333333333333
"Actinoplanes","b",0.0888888888888889
"Actinopolymorpha","a",0.183333333333333
"Actinopolymorpha","b",0.133333333333333
"Actinotignum","a",0.0333333333333333
"Actinotignum","b",0.0333333333333333
"Adhaeribacter","a",0.2
"Adhaeribacter","b",0.2
"Adlercreutzia","a",1.16666666666667
"Adlercreutzia","b",0.866666666666667
"Advenella","a",0.133333333333333
"Advenella","b",0.133333333333333
"Aequorivita","a",0.222222222222222
"Aequorivita","b",0.0444444444444444
"Aeribacillus","a",0.366666666666667
"Aeribacillus","b",0.4
"Aerococcus","a",0.308333333333333
"Aerococcus","b",0.216666666666667
"Aeromonas","a",0.181818181818182
"Aeromonas","b",0.218181818181818
"Aestuariivita","a",0.0666666666666667
"Aestuariivita","b",0.0333333333333333
"Afifella","a",0.0333333333333333
"Afifella","b",0
"Afipia","a",0.166666666666667
"Afipia","b",0
"Aggregatibacter","a",0.255555555555556
"Aggregatibacter","b",0.133333333333333
"Agrobacterium","a",0.2
"Agrobacterium","b",0.1
"Agrococcus","a",0.133333333333333
"Agrococcus","b",0.166666666666667
"Agromyces","a",0.1
"Agromyces","b",0.0666666666666667
"Ahrensia","a",0.333333333333333
"Ahrensia","b",0.433333333333333
"Akkermansia","a",36.4458333333333
"Akkermansia","b",38.45
"Alcaligenes","a",0.1
"Alcaligenes","b",0
"Alcanivorax","a",0.0416666666666667
"Alcanivorax","b",0.0833333333333333
"Algibacter","a",0.377777777777778
"Algibacter","b",0.0333333333333333
"Algicola","a",0.233333333333333
"Algicola","b",0
"Algoriphagus","a",0.473333333333333
"Algoriphagus","b",0.1
"Alicyclobacillus","a",0.185185185185185
"Alicyclobacillus","b",0.218518518518519
"Aliiglaciecola","a",0.1
"Aliiglaciecola","b",0.1
"Aliihoeflea","a",0.166666666666667
"Aliihoeflea","b",0.2
"Aliiroseovarius","a",0.0333333333333333
"Aliiroseovarius","b",0
"Aliivibrio","a",0.144444444444444
"Aliivibrio","b",0.122222222222222
"Alishewanella","a",0.2
"Alishewanella","b",0.266666666666667
"Alistipes","a",135.520833333333
"Alistipes","b",126.841666666667
"Alkalibacterium","a",0.25
"Alkalibacterium","b",0.208333333333333
"Alkaliflexus","a",0.733333333333333
"Alkaliflexus","b",0.433333333333333
"Alkalilimnicola","a",0.0666666666666667
"Alkalilimnicola","b",0
"Alkalimonas","a",0.0333333333333333
"Alkalimonas","b",0.0333333333333333
"Alkaliphilus","a",2.08333333333333
"Alkaliphilus","b",1.46666666666667
"Alkanindiges","a",0
"Alkanindiges","b",0.0333333333333333
"Allisonella","a",38.1333333333333
"Allisonella","b",42.6666666666667
"Allobaculum","a",3.6
"Allobaculum","b",2.73333333333333
"Allochromatium","a",0.216666666666667
"Allochromatium","b",0.116666666666667
"Allofrancisella","a",0.0666666666666667
"Allofrancisella","b",0
"Allofustis","a",0.433333333333333
"Allofustis","b",0.333333333333333
"Alloiococcus","a",0.0333333333333333
